CustomerKey,Name,Education,Occupation
178,Flores Jose,Graduate Degree,Management
18824,Unknown Customer,Not Specified,Not Specified
18840,Unknown Customer,Not Specified,Not Specified
18841,Unknown Customer,Not Specified,Not Specified
19036,Unknown Customer,Not Specified,Not Specified
17164,Washington Rachel,Partial College,Skilled Manual
4750,Brown Grace,Bachelors,Management
15268,Martin Matthew,High School,Skilled Manual
14157,Peterson Catherine,Graduate Degree,Management
15059,Stewart Faith,Bachelors,Management
15106,Gonzales Morgan,Partial College,Professional
18223,Perez Evan,Bachelors,Management
18254,Green Savannah,Bachelors,Management
15273,Hughes Kelly,Partial High School,Clerical
17606,Coleman Caleb,Partial High School,Clerical
14065,Harris James,Bachelors,Management
14177,Flores Edward,Bachelors,Management
14293,Adams Eduardo,Bachelors,Management
16643,Johnson Kayla,High School,Professional
17259,Bryant Destiny,Bachelors,Management
17270,Green Alexandra,Bachelors,Management
18046,Jones Anna,Graduate Degree,Management
17159,Luo Clarence,Bachelors,Professional
4780,Hayes Jackson,Partial College,Professional
14173,Gray Evan,Bachelors,Management
15098,Flores Robert,Graduate Degree,Management
15540,Hayes Faith,Graduate Degree,Management
15690,Gill Arthur,Bachelors,Management
16459,Liang Roger,Bachelors,Management
16617,Brown Emma,Bachelors,Management
16628,Yang Jason,Graduate Degree,Management
16663,Zheng Bianca,Partial College,Professional
17078,Williams Sarah,Bachelors,Management
5970,Turner Jackson,Graduate Degree,Professional
18238,Jenkins Jennifer,Partial College,Professional
18247,Williams Thomas,Bachelors,Management
11805,Butler Kelly,Partial College,Professional
11807,Sun Crystal,Partial College,Professional
11810,Sara Martin,Partial College,Professional
11811,Sanchez Nathaniel,Partial College,Professional
9846,Malhotra Barry,Bachelors,Clerical
9848,Young Kyle,Bachelors,Clerical
9855,Raji Kara,High School,Manual
6112,Chande Jenny,Partial College,Clerical
6114,Pal Clarence,Partial College,Clerical
6195,Thompson Wyatt,Partial College,Professional
6199,Jiménez Cheryl,Partial College,Professional
6200,Zhou Dennis,High School,Professional
6201,She Russell,Partial College,Professional
6202,Yang Vincent,Partial College,Professional
9057,She Johnny,Partial High School,Manual
4668,Ramos Hector,Bachelors,Clerical
4673,Nara Kelvin,Partial College,Manual
4681,She Tasha,High School,Manual
9894,Hall Robert,Bachelors,Clerical
6115,Mehta Jarrod,Partial College,Clerical
9044,Zheng Brent,Partial High School,Manual
6198,Nara Mindy,Partial College,Professional
11806,Goel Cristina,Bachelors,Management
11816,Wang Margaret,Bachelors,Management
4675,Raheem Tommy,Bachelors,Clerical
12275,Jackson Ethan,High School,Skilled Manual
12277,Zhou Vincent,High School,Skilled Manual
12278,Torres Isaiah,High School,Skilled Manual
12279,Flores Chloe,High School,Skilled Manual
12328,Moore Madison,Partial College,Skilled Manual
12380,Richardson Riley,Bachelors,Professional
12518,Martinez Ronald,High School,Professional
12550,Sai George,High School,Skilled Manual
12559,Barnes Dakota,High School,Skilled Manual
12565,Howard Jessica,Partial High School,Clerical
12667,Anderson Olivia,High School,Professional
12668,Arun Harold,High School,Professional
12688,Flores Melissa,Partial High School,Clerical
12689,Thomas Olivia,Partial High School,Clerical
12693,King Isaac,Partial High School,Clerical
12694,Jenkins Jacqueline,Partial High School,Clerical
12695,Brooks Brian,Partial High School,Clerical
12696,Coleman Elijah,Partial High School,Skilled Manual
12698,Kelly Cody,Partial High School,Skilled Manual
12699,Coleman Melissa,Partial High School,Skilled Manual
12700,Walker Nicholas,Partial High School,Skilled Manual
12701,Young Katelyn,Partial High School,Skilled Manual
12787,Serrano Carrie,Partial High School,Manual
12788,Ward Adrian,High School,Clerical
12790,Walker Ryan,High School,Clerical
12791,Williams Isabella,Partial High School,Clerical
12792,Griffin Aaron,Partial High School,Clerical
12793,Wu Jessie,Partial High School,Clerical
12795,Powell Abigail,High School,Clerical
4839,Taylor Julia,Partial College,Skilled Manual
4840,Taylor William,Partial College,Skilled Manual
5219,Simmons Julia,Bachelors,Skilled Manual
5223,Anderson Brandon,Bachelors,Skilled Manual
5224,Collins Carlos,Bachelors,Skilled Manual
18328,Chandra Allen,High School,Skilled Manual
18330,Campbell Lucas,High School,Skilled Manual
18335,Howard Paige,Partial High School,Clerical
5083,Zeng Autumn,Bachelors,Skilled Manual
5085,Wright Allison,Bachelors,Professional
5088,Chen Micah,Graduate Degree,Professional
5089,Sanders Bryce,Bachelors,Professional
5846,Adams Andrea,Graduate Degree,Management
5853,She Kate,Bachelors,Management
5854,Bailey Christina,Bachelors,Management
5855,Adams Seth,Graduate Degree,Management
5862,Sharma Luis,Bachelors,Management
5863,Nelson Timothy,Bachelors,Management
5866,Diaz Jordyn,High School,Professional
5073,Evans Caleb,Graduate Degree,Professional
5075,Roberts Caleb,Graduate Degree,Professional
5076,Johnson Alexis,Graduate Degree,Professional
5077,Rogers Catherine,Graduate Degree,Professional
5078,Rogers Stephanie,Graduate Degree,Professional
5080,Carter Natalie,Graduate Degree,Professional
5081,Patterson Oscar,High School,Skilled Manual
4261,Torres Kathleen,Partial High School,Clerical
4277,Hall Megan,Partial College,Skilled Manual
4278,Griffin Hailey,Partial College,Skilled Manual
4279,Russell Brandon,Partial College,Skilled Manual
4425,Hill Rebecca,Partial College,Skilled Manual
4520,Evans Jennifer,Partial High School,Clerical
4814,Diaz Julian,High School,Skilled Manual
4820,Cox Savannah,High School,Skilled Manual
4821,Ward Chase,High School,Skilled Manual
4825,Kumar Lindsay,Partial High School,Clerical
12796,Moore Lauren,High School,Clerical
12797,Young Miguel,High School,Clerical
12798,Perez Nathan,Partial High School,Clerical
12801,Cox Kaylee,Partial High School,Clerical
12802,Wood Taylor,Partial High School,Clerical
12803,Diaz Emily,Partial High School,Clerical
12806,Hayes Luke,High School,Skilled Manual
13238,Henderson Chloe,Partial College,Skilled Manual
13276,Rivera Lucas,Partial College,Skilled Manual
13448,Morgan Cody,High School,Professional
13449,Lopez Amanda,High School,Professional
13450,Simmons Melanie,High School,Professional
13452,Morgan Bailey,High School,Professional
13491,Suarez Dwayne,High School,Skilled Manual
13493,Lopez Devin,High School,Skilled Manual
13619,Gonzalez Brett,High School,Professional
13620,Kelly Shelby,High School,Professional
13621,Morgan Olivia,High School,Professional
13649,King Amanda,Partial High School,Clerical
13652,Alexander Dakota,Partial High School,Clerical
13653,Butler Luke,Partial High School,Clerical
13738,Bailey Angela,Partial High School,Clerical
13741,Cooper Shelby,Partial High School,Clerical
13742,Perry Brittany,Partial High School,Clerical
13744,Coleman Chloe,High School,Skilled Manual
13746,Ward Jennifer,High School,Skilled Manual
18784,Unknown Customer,Not Specified,Not Specified
12692,Hu Karen,Partial High School,Clerical
12794,Kumar Ryan,High School,Clerical
12800,Chandra Carolyn,Partial High School,Clerical
13500,Lewis Olivia,Partial High School,Clerical
13618,She Kelsey,High School,Professional
18336,Bryant Justin,Partial High School,Clerical
5079,James Nicole,Graduate Degree,Professional
5087,Watson Charles,Graduate Degree,Professional
5861,Rogers Haley,Bachelors,Management
4260,Zhu Franklin,Partial High School,Clerical
4822,Anderson Logan,High School,Skilled Manual
12276,Jackson Miguel,High School,Skilled Manual
12329,Butler Julian,Partial College,Skilled Manual
12520,Long Jacqueline,High School,Professional
12697,Li Autumn,Partial High School,Skilled Manual
12805,Ma Kristen,High School,Skilled Manual
13237,Nelson Isabella,Partial College,Skilled Manual
13651,Baker Julia,Partial High School,Clerical
13737,Ramirez Savannah,Partial High School,Clerical
5016,Cooper Jessica,Partial College,Skilled Manual
5222,Saunders Darren,Bachelors,Skilled Manual
5867,Parker Alexandra,Bachelors,Management
4280,Lee Hunter,Partial College,Skilled Manual
12281,Alexander Hannah,High School,Skilled Manual
12789,Smith Michael,High School,Clerical
13451,Long Isabel,High School,Professional
13733,Davis Wyatt,Bachelors,Skilled Manual
13743,Ramirez Rachel,High School,Clerical
18329,Alexander Jason,High School,Skilled Manual
5074,Bryant Miranda,Graduate Degree,Professional
5082,Cai Arturo,Bachelors,Skilled Manual
9329,Carter Sierra,Bachelors,Management
9330,Yang Jose,Bachelors,Management
9336,Gonzales Adam,Bachelors,Management
9337,Young Ian,Bachelors,Management
9338,Hall Xavier,High School,Professional
9339,James Anna,Bachelors,Management
9341,Kelly Makayla,Bachelors,Management
9345,Anand Ashlee,Bachelors,Management
9346,Martinez Regina,Bachelors,Management
9347,Washington Angelica,Bachelors,Management
9348,Roberts Savannah,Bachelors,Management
9361,Russell Brianna,Graduate Degree,Management
9365,Jackson Anna,Graduate Degree,Management
9367,Powell Marcus,High School,Professional
9368,Anderson Jessica,High School,Professional
9462,Nelson Mackenzie,Bachelors,Management
9476,Martinez Blake,Bachelors,Management
9477,Long Destiny,Graduate Degree,Management
9478,Washington Brandon,Graduate Degree,Management
9636,Young Nathan,Bachelors,Management
9637,Patterson Olivia,Bachelors,Management
9645,Brooks Patrick,Graduate Degree,Management
10272,Wang Thomas,Bachelors,Management
10288,Jimenez Kendra,Bachelors,Management
10289,Hall Hunter,Bachelors,Management
10294,Garcia Ashley,Partial College,Professional
10295,Foster David,Bachelors,Management
10301,Morgan Kaylee,Bachelors,Management
10317,Thompson John,Graduate Degree,Management
10325,Baker Chloe,Partial College,Professional
10327,Green Andrea,Partial College,Professional
10328,Washington Connor,Bachelors,Management
10420,Ma Gilbert,Bachelors,Management
10434,Martinez Gerald,Bachelors,Management
10435,Smith Isabella,Graduate Degree,Management
10436,Alexander Connor,Bachelors,Management
1710,Rodriguez Ian,Bachelors,Management
2017,Bryant Antonio,Graduate Degree,Management
2093,Walker William,Graduate Degree,Management
2177,Chander Kurt,Graduate Degree,Management
2187,Sanders Marcus,Graduate Degree,Management
6624,Robinson Austin,Bachelors,Professional
6625,Alexander Samantha,Bachelors,Professional
6660,Tang Jodi,Graduate Degree,Skilled Manual
6661,Young Seth,Graduate Degree,Skilled Manual
6662,Smith Natalie,Partial College,Clerical
6343,Jones William,Partial High School,Clerical
6370,Brown Ethan,Partial College,Skilled Manual
6486,Davis Blake,Partial College,Skilled Manual
6487,Foster Marissa,Partial College,Skilled Manual
6488,Green Nathan,Partial College,Skilled Manual
6499,Martin Daniel,Partial College,Skilled Manual
6519,Gill Wendy,Partial High School,Skilled Manual
6557,Powell Emily,Partial High School,Clerical
6659,Howard Jade,High School,Manual
6664,Hayes Elizabeth,High School,Clerical
6665,Robinson Devin,High School,Clerical
18825,Unknown Customer,Not Specified,Not Specified
18795,Unknown Customer,Not Specified,Not Specified
18814,Unknown Customer,Not Specified,Not Specified
9328,Perez Sophia,Bachelors,Management
10326,Hayes Angela,High School,Professional
1534,Washington Luis,Graduate Degree,Management
6558,Davis Matthew,Partial High School,Clerical
9335,Mitchell Jeremiah,Bachelors,Management
10271,Jackson Daniel,Graduate Degree,Management
1365,Rogers Erin,Bachelors,Management
9340,Hughes Kaitlyn,Bachelors,Management
9349,Evans Chloe,Bachelors,Management
9463,Mitchell Haley,Graduate Degree,Management
10318,Rivera Lauren,Graduate Degree,Management
10744,Rubio Theresa,Bachelors,Management
6344,Price Tristan,Partial High School,Clerical
6506,Mitchell Hunter,High School,Skilled Manual
5372,Diaz Caleb,Partial College,Clerical
5373,Foster Vanessa,Partial College,Clerical
5374,Cook Sara,Partial College,Clerical
5376,Hernandez Gabriella,Partial College,Clerical
5377,Wright Maria,Partial College,Clerical
5378,Adams Jordan,Graduate Degree,Skilled Manual
5379,Baker Hailey,Graduate Degree,Skilled Manual
17642,Butler Brittany,Graduate Degree,Skilled Manual
17644,Gray Xavier,Graduate Degree,Skilled Manual
17645,Chow Martha,Graduate Degree,Skilled Manual
17646,Fernandez Martin,Graduate Degree,Skilled Manual
17650,Martinez Nathan,Graduate Degree,Skilled Manual
5383,Davis Jennifer,Graduate Degree,Skilled Manual
5384,Kelly Brian,Graduate Degree,Skilled Manual
5385,Reed Jada,Graduate Degree,Skilled Manual
5386,Perez James,Graduate Degree,Skilled Manual
5478,Gonzales Anna,Partial High School,Clerical
5479,Gray Adrian,Partial College,Skilled Manual
9788,Pal Bridget,Graduate Degree,Skilled Manual
9789,Gonzalez Sara,Graduate Degree,Skilled Manual
9791,Harrison Kayla,Graduate Degree,Skilled Manual
9792,Patterson Ryan,Graduate Degree,Skilled Manual
10141,Diaz Byron,High School,Skilled Manual
7228,Diaz Miranda,Partial College,Skilled Manual
7229,Parker Adam,Partial College,Skilled Manual
7230,Ward Gabriella,Partial College,Skilled Manual
7231,Perry Brianna,Bachelors,Professional
7233,Edwards Sophia,Partial College,Skilled Manual
7234,Bailey Mackenzie,Bachelors,Professional
7235,Russell Alexandria,Bachelors,Professional
7312,Mitchell Jennifer,High School,Skilled Manual
7313,Moore Miguel,High School,Skilled Manual
7319,Hughes Benjamin,High School,Skilled Manual
7324,Clark Jeremy,High School,Skilled Manual
7329,Rai Alvin,High School,Skilled Manual
10142,Li Omar,High School,Skilled Manual
10143,Brooks Mason,High School,Skilled Manual
10144,Campbell Allison,Partial College,Skilled Manual
10146,Lal Mindy,Bachelors,Professional
10147,Taylor Robert,Partial College,Skilled Manual
10148,Rogers Angel,Partial College,Skilled Manual
5019,Henderson Emma,Partial College,Skilled Manual
5020,Hernandez Amber,Partial College,Skilled Manual
5025,Hill Isaac,Partial College,Skilled Manual
8405,Moore Nicole,High School,Skilled Manual
8634,Gray Destiny,High School,Skilled Manual
8639,Peterson Kimberly,High School,Skilled Manual
8640,Gill Victor,High School,Skilled Manual
8642,Evans Richard,Partial High School,Clerical
8645,Gill Gloria,Partial High School,Clerical
8657,Travers Sydney,Partial College,Skilled Manual
8770,Peterson Andrea,Partial College,Skilled Manual
9070,Smith Jessica,Graduate Degree,Skilled Manual
9075,Madan Preston,High School,Manual
9077,Vazquez Beth,High School,Manual
9078,Coleman Aidan,High School,Manual
9079,Lee Jose,High School,Manual
9080,Taylor Alexandra,High School,Manual
9082,Xie Jerry,High School,Manual
9090,Powell Luis,High School,Manual
9091,Edwards Blake,High School,Clerical
9092,Parker Andrea,High School,Clerical
9096,Flores Ana,High School,Clerical
9099,Lewis Alexis,High School,Skilled Manual
9100,Xie Devon,High School,Skilled Manual
9101,Watson Jesse,High School,Skilled Manual
9102,Hayes Devin,High School,Skilled Manual
9140,Wright Connor,Bachelors,Manual
9271,Phillips Kevin,High School,Skilled Manual
9277,Sanchez Haley,High School,Skilled Manual
9294,Jackson Rachel,Partial College,Skilled Manual
9295,Davis Julia,Partial College,Skilled Manual
9306,Ross Caleb,Partial College,Skilled Manual
9307,Baker Mary,Partial College,Skilled Manual
9309,Uittenbogaard Pieter,Partial College,Skilled Manual
9498,Javier Castrejón Francisco,Partial High School,Clerical
9738,Griffin Victoria,Partial College,Clerical
9740,Carter Kaitlyn,High School,Manual
9743,Stewart Isabella,High School,Manual
9744,Howard Arianna,High School,Manual
9745,Barnes Amanda,High School,Manual
9748,Vazquez Melody,Partial High School,Clerical
9749,Watson Stephanie,Partial High School,Clerical
9750,Morgan Joan,High School,Clerical
9752,Arthur Jermaine,High School,Clerical
9753,Simmons Christian,High School,Clerical
9754,Kelly Taylor,High School,Clerical
9759,Sanders Jesse,High School,Skilled Manual
9763,King Jennifer,High School,Skilled Manual
9764,Carter Lucas,High School,Skilled Manual
10234,Smith Christopher,High School,Skilled Manual
10235,Rivera Brianna,High School,Skilled Manual
10238,Washington Luke,High School,Skilled Manual
10241,Jenkins Aaron,Partial High School,Clerical
10242,Griffin Carson,Partial High School,Clerical
10243,Patterson Morgan,Partial High School,Clerical
10386,Peterson Nicole,Partial College,Skilled Manual
10387,Wood Abigail,Partial College,Skilled Manual
10698,Powell Dalton,High School,Manual
10699,She Tracy,High School,Manual
10702,Sanders Abigail,High School,Clerical
10707,Murphy Haley,High School,Skilled Manual
10708,Simmons Cassidy,High School,Skilled Manual
11013,Malhotra Regina,High School,Skilled Manual
11014,Jenkins Marcus,High School,Skilled Manual
11022,White Ethan,Partial High School,Clerical
11023,Davis Christopher,Partial High School,Clerical
11332,Yuan Michele,Partial College,Clerical
18785,Unknown Customer,Not Specified,Not Specified
18842,Unknown Customer,Not Specified,Not Specified
5014,Williams Xavier,Partial College,Skilled Manual
5023,Hernandez Devin,Partial High School,Clerical
5380,Jimenez Marc,Graduate Degree,Skilled Manual
9084,Kumar Terry,High School,Manual
9272,Fernandez Barry,High School,Skilled Manual
9308,Blue Natalie,Partial College,Skilled Manual
9755,Davis Ian,High School,Skilled Manual
10697,Watson Gabrielle,High School,Manual
10706,Sharma Warren,High School,Skilled Manual
11024,Chen Rafael,Partial High School,Clerical
10140,Adams Alex,Partial College,Skilled Manual
7227,Walker Joseph,Partial College,Skilled Manual
9089,Lewis Jose,Partial High School,Clerical
9106,Taylor Alexis,High School,Skilled Manual
9293,Ross Katherine,Partial College,Skilled Manual
11012,Patterson Richard,High School,Skilled Manual
7232,Gutierrez Janet,Graduate Degree,Professional
10145,Richardson Lucas,Partial College,Skilled Manual
8804,Mehta Jermaine,Partial High School,Skilled Manual
9081,Stewart Maria,High School,Manual
5018,Ramirez Jeremy,Partial College,Skilled Manual
5375,Phillips Edward,Partial College,Clerical
17643,Ward Lauren,Graduate Degree,Skilled Manual
9095,Chande Lindsey,High School,Clerical
9103,Jenkins Arianna,High School,Skilled Manual
9276,Kelly Angela,High School,Skilled Manual
9742,Foster Jocelyn,High School,Manual
5382,Davis Kayla,Graduate Degree,Skilled Manual
9758,Powell Alexia,High School,Skilled Manual
11008,Hernandez Kaylee,High School,Skilled Manual
11017,Andersen Terrence,Partial High School,Clerical
9790,Williams Miguel,Graduate Degree,Skilled Manual
7236,Guo Vincent,Graduate Degree,Professional
10150,Diaz Miguel,Partial College,Skilled Manual
12272,Clark Alexandra,High School,Skilled Manual
12273,Hayes Tristan,High School,Skilled Manual
12274,Long Benjamin,High School,Skilled Manual
5775,Perry Eduardo,Graduate Degree,Skilled Manual
5776,Russell Sarah,Graduate Degree,Professional
5777,Lewis Dalton,Bachelors,Skilled Manual
5778,Simmons Cameron,Bachelors,Management
5780,Watson Morgan,Bachelors,Management
5781,Bailey Carlos,Bachelors,Management
5782,Chen Dylan,Bachelors,Management
5783,Clark Lucas,Bachelors,Management
6696,Washington Hunter,Graduate Degree,Skilled Manual
6697,Simmons Madison,Graduate Degree,Skilled Manual
6698,Gray Nathaniel,Graduate Degree,Skilled Manual
6700,Bell Jesse,Graduate Degree,Skilled Manual
6860,Gonzalez Wyatt,Partial College,Skilled Manual
6861,Diaz Noah,Partial College,Skilled Manual
6864,Cooper Bailey,Bachelors,Professional
6865,Martinez Emily,Partial College,Skilled Manual
6867,Baker Jack,Partial College,Skilled Manual
6869,Blue Richard,Graduate Degree,Professional
6870,Mehta Henry,Graduate Degree,Professional
6871,Price Melissa,Graduate Degree,Professional
7413,Parker Mary,High School,Professional
7414,Jackson Samuel,Partial College,Professional
7415,Griffin Gabrielle,Partial College,Professional
7417,Peterson Emma,Partial College,Professional
7425,Williams Samuel,High School,Professional
11338,Jenkins Haley,High School,Manual
11339,Russell Thomas,High School,Manual
11340,Nelson Richard,High School,Manual
11342,Washington Tristan,High School,Manual
11343,Lal Jon,Partial High School,Clerical
11344,Powell Brittany,High School,Clerical
11345,Yang Krystal,High School,Clerical
11348,Long Abigail,High School,Skilled Manual
11349,Torres Zoe,High School,Skilled Manual
11351,Powell Riley,High School,Skilled Manual
11353,Moore Elizabeth,High School,Skilled Manual
11356,Jones Logan,High School,Skilled Manual
13748,Powell Dakota,Partial High School,Clerical
13750,Guo Marshall,Partial High School,Clerical
13751,Barnes Destiny,Partial High School,Clerical
13753,Jackson Cameron,High School,Skilled Manual
13754,Jenkins Eduardo,High School,Skilled Manual
13926,Perez Erick,High School,Professional
13927,Roberts Eric,High School,Professional
13928,Harris Kaitlyn,High School,Professional
13929,Wright Timothy,High School,Professional
13931,Lewis Abigail,High School,Professional
13954,Green Aaron,Partial High School,Clerical
13956,Perez Donald,Partial High School,Skilled Manual
13957,Ward Ariana,Partial High School,Skilled Manual
13958,Howard Anna,Partial High School,Skilled Manual
14005,Thomas Samuel,Partial College,Skilled Manual
14006,Williams Brianna,Partial College,Skilled Manual
14007,Murphy Bailey,Partial College,Skilled Manual
14008,Sanders Alyssa,Partial College,Skilled Manual
14082,Morris Melanie,Bachelors,Professional
14206,Jones John,High School,Professional
14208,Moore Destiny,High School,Professional
14209,Taylor Daniel,High School,Professional
14254,Miller Ryan,High School,Skilled Manual
14255,She Krystal,High School,Skilled Manual
14258,Sanchez Harold,High School,Skilled Manual
14259,Vazquez Micheal,High School,Skilled Manual
14260,Thomas Ethan,High School,Skilled Manual
14337,Cook Chase,Partial High School,Clerical
14338,Washington Megan,Partial High School,Clerical
14343,Hill Seth,Partial High School,Clerical
11341,Young Isaac,High School,Manual
11346,James Amanda,High School,Skilled Manual
11352,Davis Sarah,High School,Skilled Manual
11357,Ward Charles,High School,Skilled Manual
11735,Adams Maria,Partial High School,Clerical
11968,Smith Rachel,High School,Skilled Manual
11980,Hernandez Theodore,Partial High School,Clerical
12007,Lee Seth,Partial College,Skilled Manual
12008,Sanchez Isaac,Partial College,Skilled Manual
12012,Rivera Isaiah,Partial College,Skilled Manual
12191,Ramirez Nathaniel,Partial High School,Clerical
12249,Peterson Bailey,High School,Manual
12250,Nara Tasha,High School,Manual
12251,Lee Ashley,High School,Manual
12252,Scott Evan,High School,Manual
12255,Gonzalez Jack,High School,Manual
12257,Chande Mario,High School,Clerical
12259,Watson Megan,High School,Clerical
12260,Taylor John,High School,Clerical
12262,Peterson Jada,High School,Clerical
12263,Kelly Sydney,High School,Clerical
12264,Lopez Angel,High School,Skilled Manual
12253,Wood Alexia,High School,Manual
